depth	min	max	median	wmean
562	24726	25764.7	25247.4	25256.7
564	24767.7	25786.2	25283.9	25291.9
566	24800	25812.2	25321.1	25326.8
568	24826	25844.4	25356.3	25361.8
570	24856.8	25897.9	25391.4	25396.8
572	24908.6	25916.8	25425.1	25431.7
574	24951.4	25943.1	25460.2	25467.7
576	24984.9	25972.3	25494.7	25502.3
578	25020.3	26001.7	25530.6	25537.5
580	25045.6	26046.8	25564.1	25572.3
582	25110.5	26060.1	25597.4	25606.8
584	25161.9	26090.4	25633.7	25641.7
586	25198.3	26109.6	25670.9	25676.7
588	25237	26140.6	25704.1	25710.6
590	25266.3	26178.3	25740.2	25745.5
592	25329.8	26201.5	25770.7	25778.7
594	25379.4	26228.7	25802.8	25812.2
596	25422.8	26254.6	25837	25846.1
598	25460.3	26286.2	25872.2	25880
600	25494.4	26317.6	25905.8	25914.4
